Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1904,-.75,-.61,-.45,-.50,-.44,-.48,-.59,-.54,-.63,-.39,-.08,-.34,-.48,-.50,-.64,-.46,-.54,-.37
1905,-.41,-.82,-.23,-.46,-.28,-.28,-.21,-.24,-.19,-.27,.09,-.16,-.29,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.20,.05,-.25,-.11,-.26,-.17,-.24,-.18,-.40,.03,-.24,-.25,-.42,-.13,-.18,-.27
1907,-.57,-.72,-.30,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.58,-.47,-.42,-.42,-.44,-.43,-.38
1908,-.54,-.27,-.70,-.47,-.28,-.29,-.35,-.57,-.30,-.45,-.63,-.55,-.45,-.45,-.47,-.48,-.40,-.46
1909,-.93,-.44,-.66,-.65,-.49,-.52,-.45,-.36,-.37,-.34,-.12,-.57,-.49,-.49,-.64,-.60,-.44,-.28
1910,-.35,-.37,-.49,-.41,-.31,-.45,-.38,-.40,-.43,-.31,-.62,-.81,-.44,-.42,-.43,-.40,-.41,-.45
1911,-.70,-.58,-.62,-.46,-.45,-.34,-.38,-.43,-.37,-.18,-.19,-.29,-.42,-.46,-.70,-.51,-.38,-.25
1912,-.35,-.16,-.60,-.15,-.13,-.13,-.52,-.77,-.80,-.85,-.51,-.57,-.46,-.44,-.27,-.29,-.47,-.72
1913,-.56,-.63,-.47,-.49,-.54,-.49,-.51,-.46,-.41,-.38,-.14,.11,-.41,-.47,-.58,-.50,-.49,-.31
1914,.18,-.10,-.35,-.38,-.18,-.22,-.33,-.27,-.29,.00,-.22,-.05,-.18,-.17,.06,-.30,-.27,-.17
1915,-.26,-.09,-.23,.08,-.01,-.12,-.10,-.16,-.21,-.27,-.03,-.24,-.14,-.12,-.13,-.05,-.13,-.17
1916,-.09,-.16,-.38,-.34,-.37,-.50,-.34,-.37,-.49,-.35,-.46,-1.13,-.42,-.34,-.16,-.36,-.40,-.44
1917,-.52,-.68,-.74,-.64,-.73,-.48,-.32,-.40,-.30,-.63,-.31,-1.06,-.57,-.57,-.77,-.70,-.40,-.42
1918,-.69,-.46,-.26,-.59,-.49,-.45,-.34,-.37,-.25,-.05,-.22,-.56,-.39,-.43,-.74,-.44,-.39,-.17
1919,-.38,-.39,-.37,-.23,-.42,-.39,-.34,-.31,-.19,-.09,-.47,-.56,-.35,-.35,-.44,-.34,-.34,-.25
1920,-.15,-.29,.01,-.21,-.21,-.26,-.25,-.31,-.35,-.40,-.45,-.72,-.30,-.29,-.33,-.14,-.27,-.40
1921,.18,-.09,-.11,-.17,-.25,-.14,-.03,-.29,-.17,.00,-.11,-.13,-.11,-.16,-.21,-.18,-.15,-.09
1922,-.38,-.62,-.10,-.15,-.17,-.14,-.27,-.36,-.42,-.30,-.12,-.16,-.27,-.27,-.38,-.14,-.26,-.28
1923,-.17,-.47,-.39,-.53,-.39,-.24,-.29,-.28,-.17,.06,.16,.11,-.22,-.24,-.26,-.43,-.27,.02
1924,-.27,-.19,.03,-.25,-.06,-.19,-.22,-.26,-.22,-.23,.12,-.36,-.18,-.14,-.12,-.09,-.22,-.11
1925,-.26,-.36,-.22,-.16,-.21,-.26,-.26,-.20,-.05,-.09,.24,.23,-.13,-.18,-.33,-.20,-.24,.03
1926,.54,.19,.39,-.12,-.22,-.20,-.19,-.06,-.03,.06,.17,-.29,.02,.06,.32,.01,-.15,.07
1927,-.27,-.07,-.46,-.26,-.14,-.13,-.08,-.15,.04,.25,.10,-.37,-.13,-.12,-.21,-.29,-.12,.13
1928,.26,.09,-.22,-.32,-.17,-.32,-.10,-.19,-.15,-.09,.04,-.03,-.10,-.13,-.01,-.24,-.20,-.06
1929,-.55,-.78,-.18,-.34,-.27,-.39,-.35,-.19,-.20,-.01,-.02,-.65,-.33,-.28,-.45,-.26,-.31,-.08
1930,-.11,-.18,.12,-.14,-.19,-.11,-.02,.03,-.01,.03,.46,.10,.00,-.06,-.31,-.07,-.04,.16
1931,.02,-.22,-.05,-.20,-.13,.16,.09,.10,.19,.38,.27,.11,.06,.06,-.03,-.13,.12,.28
1932,.40,-.17,-.20,.11,-.09,-.13,-.13,-.06,.11,.15,-.31,-.21,-.04,-.02,.11,-.06,-.11,-.02
1933,-.17,-.29,-.30,-.16,-.24,-.30,-.13,-.13,-.26,-.16,-.23,-.53,-.24,-.21,-.22,-.23,-.19,-.22
1934,-.13,.34,-.26,-.28,.09,.00,-.03,-.09,-.13,.14,.28,.18,.01,-.05,-.11,-.15,-.04,.10
1935,-.40,.58,.04,-.35,-.28,-.14,-.03,-.06,-.05,.12,-.30,-.16,-.08,-.06,.12,-.19,-.07,-.08
1936,-.28,-.49,-.11,-.05,.01,.05,.10,.03,.07,.09,.16,.16,-.02,-.05,-.31,-.05,.06,.11
1937,.09,.25,-.22,-.06,.12,.15,.16,.16,.29,.33,.25,.00,.13,.14,.16,-.05,.16,.29
1938,.36,.29,.36,.32,.03,-.06,-.02,.09,.16,.32,.31,-.12,.17,.18,.22,.24,.00,.26
1939,.04,.00,-.23,-.08,.02,.01,.06,.09,.13,.08,.26,.78,.10,.02,-.02,-.10,.05,.16
1940,-.09,.15,.04,.29,.17,.17,.16,.07,.27,.29,.31,.36,.18,.22,.28,.16,.14,.29
1941,.18,.47,.13,.13,.24,.22,.26,.20,.11,.51,.19,.20,.24,.25,.34,.17,.22,.27
1942,.41,-.08,.01,.10,.17,.11,.00,-.07,.11,.28,.26,.27,.13,.13,.18,.09,.01,.22
1943,-.08,.38,.00,.31,.23,-.06,-.02,.10,.14,.47,.37,.38,.19,.18,.19,.18,.01,.32
1944,.63,.44,.32,.19,.24,.18,.15,.17,.36,.44,.20,.00,.28,.31,.48,.25,.17,.33
1945,.12,-.05,.10,.30,.09,.08,.07,.29,.21,.24,.09,-.21,.11,.13,.02,.16,.15,.18
1946,.35,.10,.12,.33,.04,-.05,-.03,-.09,-.03,.02,.08,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.01,-.03,-.04,-.01,.40,.19,-.05,.08,.05,-.17,.20,-.02,.20
1948,.31,-.14,-.27,-.02,.17,.05,.02,.03,-.02,.08,.04,-.39,-.01,.02,.04,-.04,.03,.03
1949,.23,-.09,.05,-.02,.01,-.19,-.11,-.04,-.09,.07,.06,-.14,-.02,-.04,-.08,.01,-.11,.01
1950,-.29,-.27,.06,-.21,-.04,-.06,-.18,-.19,-.08,-.06,-.33,-.12,-.15,-.15,-.23,-.06,-.14,-.16
1951,-.36,-.51,-.18,.07,.17,-.01,.08,.22,.34,.29,.08,.38,.05,.01,-.33,.02,.10,.24
1952,.17,.17,-.21,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.02
1953,.24,.38,.26,.41,.25,.25,.22,.18,.17,.27,.09,.23,.25,.23,.21,.30,.22,.18
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,.00,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.01,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.27,-.22,-.29
1957,-.13,-.05,-.10,-.09,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.13,.13,.19,.20,.10,.04
1960,.15,.42,-.40,-.13,.03,.18,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.04,-.03,-.04,.07,-.17,.08,.13,.29,.14,.09,.00
1962,.27,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.15,.18,.00,.07
1963,.07,.50,-.12,.04,-.05,-.04,.10,.14,.13,.42,.43,.02,.14,.14,.22,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.03,.29,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.04,-.08,-.08,-.05,-.01,-.22,-.33,-.07,-.04,-.14,.12,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.18,-.03,-.03,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.01,-.12,-.15,-.10,-.05,-.09,-.27,-.04,-.20,-.05,-.18,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.31,.19,.09,.16,.04,.03,-.08,-.08,-.10,-.04,.09,.09,.18,.20,.08,-.09
1974,-.26,-.35,.03,-.10,-.19,-.18,-.12,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.21,-.09,-.14,-.20
1975,.16,.09,.10,.05,-.02,-.08,-.06,-.14,-.08,-.18,-.30,-.22,-.06,-.06,-.01,.05,-.09,-.18
1976,.05,-.12,-.31,.02,-.26,-.20,-.27,-.21,-.12,-.51,-.32,-.26,-.21,-.20,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.13,-.02,.27,.02,.12,.09,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.07,-.14,-.01,.00,.16,.02,.02,.02,.07,.07,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.07,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.41,.07,.15,.26,.19,.13,.09,.10,.11,.20,.09,.17,.21,.39,.16,.14,.14
1981,.80,.62,.68,.39,.18,.28,.09,.16,.14,.24,.35,.54,.37,.33,.50,.42,.18,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.06,.07,.19,.11,.00,-.02
1983,.55,.35,.42,.06,.05,.11,.20,.25,.26,.12,.50,.11,.25,.27,.43,.18,.19,.29
1984,.33,.02,.18,-.07,.23,.09,.09,.06,-.04,.09,-.10,-.42,.04,.08,.16,.11,.08,-.02
1985,.07,-.29,.00,-.03,.09,.01,-.07,-.02,.03,.02,.03,.16,.00,-.05,-.21,.02,-.03,.03
1986,.36,.31,.26,.15,.20,.14,-.02,.04,-.02,.09,.04,.06,.13,.14,.28,.20,.05,.04
1987,.25,.51,.00,.07,.23,.16,.26,.27,.39,.22,.10,.50,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.06,.42,.37,.38,.52,.45,.36,.18
1989,.08,.39,.45,.32,.23,.24,.32,.26,.23,.25,.12,.33,.27,.28,.30,.33,.27,.20
1990,.47,.54,1.16,.71,.50,.48,.33,.41,.42,.48,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.57,.46,.56,.33,.47,.43,.35,.36,.29,.32,.20,.41,.43,.51,.45,.42,.32
1992,.61,.50,.55,.16,.19,.04,-.10,-.07,-.18,-.17,-.09,.21,.14,.14,.44,.30,-.04,-.15
1993,.39,.52,.38,.23,.32,.22,.12,.02,-.07,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.34,-.04,.49,.48,.39,.41,.33,.32,.33,.54,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.41,.50,.37,.54,.43,.60,.57,.26,.58,.59,.77,.57,.47,.53
1996,.27,.54,.32,.17,.35,.25,.29,.18,.04,.05,.35,.35,.26,.26,.36,.28,.24,.14
1997,.36,.60,.74,.49,.42,.49,.41,.48,.51,.63,.59,.51,.52,.51,.44,.55,.46,.58
1998,.62,1.04,.72,.87,.66,.72,.75,.72,.61,.53,.49,.73,.71,.69,.72,.75,.73,.54
1999,.59,1.00,.29,.54,.36,.34,.35,.30,.40,.39,.53,.66,.48,.49,.77,.40,.33,.44
2000,.38,.89,.83,.89,.55,.44,.41,.47,.36,.29,.20,.27,.50,.53,.64,.76,.44,.28
2001,.56,.46,.76,.59,.69,.51,.63,.68,.56,.60,.97,.65,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.11,.51,.52,.68,.66,.55,.63,.54,.78,.42,.71,.73,.94,.71,.63,.65
2003,.92,.56,.66,.61,.72,.54,.68,.86,.78,.98,.66,.98,.75,.70,.64,.66,.69,.81
2004,.66,.92,.86,.70,.52,.47,.50,.55,.60,.70,.98,.44,.66,.70,.85,.69,.50,.76
2005,.95,.72,.94,.93,.77,.78,.75,.69,.90,.95,1.06,.83,.85,.82,.70,.88,.74,.97
2006,.65,.95,.78,.59,.76,.81,.69,.69,.82,.95,.95,1.15,.82,.79,.81,.71,.73,.91
2007,1.45,.89,.93,1.06,.71,.65,.65,.73,.67,.83,.82,.77,.85,.88,1.17,.90,.67,.77
2008,.33,.58,1.14,.65,.60,.61,.60,.58,.57,.86,.96,.65,.68,.69,.56,.80,.60,.80
2009,.82,.69,.58,.71,.65,.66,.68,.72,.85,.79,.84,.67,.72,.72,.72,.65,.69,.83
2010,.80,.94,1.10,1.14,.94,.84,.89,.86,.70,.89,1.20,.51,.90,.91,.80,1.06,.86,.93
2011,.62,.56,.89,.83,.66,.76,.71,.71,.73,.90,.66,.87,.74,.71,.56,.79,.73,.77
2012,.65,.59,.69,1.05,.96,.94,.85,.76,.86,.91,.98,.45,.81,.84,.70,.90,.85,.91
2013,.85,.78,.81,.67,.77,.77,.69,.73,.70,.83,1.13,.84,.80,.77,.69,.75,.73,.89
2014,.98,.72,1.19,1.09,.90,.81,.76,.91,.83,.93,.81,1.11,.92,.90,.84,1.06,.83,.86
2015,1.20,1.19,1.31,1.01,1.04,1.05,.92,1.01,1.17,1.29,1.38,1.55,1.18,1.14,1.16,1.12,.99,1.28
2016,1.56,1.93,1.89,1.47,1.11,1.13,1.04,1.13,1.22,1.03,1.12,1.05,1.31,1.35,1.68,1.49,1.10,1.13
2017,1.39,1.52,1.52,1.19,.93,.93,.97,1.02,1.01,1.05,1.22,1.39,1.18,1.15,1.32,1.21,.97,1.09
2018,1.15,1.24,1.17,.96,1.00,.85,.91,.87,.97,1.24,.97,1.09,1.03,1.06,1.26,1.05,.88,1.06
2019,1.21,1.12,1.55,1.24,.99,1.19,1.04,1.09,1.21,1.30,1.19,1.39,1.21,1.19,1.14,1.26,1.11,1.24
2020,1.58,1.70,1.66,1.39,1.27,1.13,1.10,1.12,1.20,1.21,1.61,1.21,1.35,1.36,1.56,1.44,1.12,1.34
2021,1.27,.96,1.20,1.13,1.04,1.20,1.07,1.02,1.06,1.31,1.30,1.15,1.14,1.15,1.14,1.12,1.10,1.22
2022,1.24,1.17,1.42,1.09,1.01,1.12,1.06,1.17,1.16,1.32,1.09,1.08,1.16,1.17,1.19,1.17,1.12,1.19
2023,1.30,1.32,1.63,1.02,1.11,1.18,1.43,1.57,1.66,1.89,1.99,1.86,1.50,1.43,1.23,1.25,1.40,1.85
2024,1.64,1.93,1.78,1.80,1.44,1.55,1.42,***,***,***,***,***,***,***,1.81,1.67,***,***
